Year,Month,Week_Number_In_Month,Date,Running_Work_Days,Product,ValueFOB,Volume,WorkingDaysDelta,ValueFOB_Daily,Volume_Daily
2020,4,1,4/3/20,3,Beef,56210.632,12813.456,3,18736.87733,4271.152
2020,4,1,4/3/20,3,Poultry,61325.989,40920.692,3,20441.99633,13640.23067
2020,4,1,4/3/20,3,Pork,23149.406,9508.997,3,7716.468667,3169.665667
2020,4,1,4/3/20,3,Soybeans,850560.831,2488570.135,3,283520.277,829523.3783
2020,4,1,4/3/20,3,Corn,373.686,871.245,3,124.562,290.415
2020,4,1,4/3/20,3,Cotton,18044.725,11791.628,3,6014.908333,3930.542667
2020,4,1,4/3/20,3,Sugar,95158.321,326611.468,3,31719.44033,108870.4893
2020,4,1,4/3/20,3,Beef_Skin,8496.793,3505.989,3,2832.264333,1168.663
2020,4,2,4/10/20,7,Beef,129055.466,29108.385,4,32263.8665,7277.09625
2020,4,2,4/10/20,7,Poultry,118679.863,81084.002,4,29669.96575,20271.0005
2020,4,2,4/10/20,7,Pork,31392.361,12845.298,4,7848.09025,3211.3245
2020,4,2,4/10/20,7,Soybeans,1201525.436,3637950.908,4,300381.359,909487.727
2020,4,2,4/10/20,7,Corn,845.248,1594.622,4,211.312,398.6555
2020,4,2,4/10/20,7,Cotton,31613.401,20409.373,4,7903.35025,5102.34325
2020,4,2,4/10/20,7,Sugar,102305.864,372596.806,4,25576.466,93149.2015
2020,4,2,4/10/20,7,Beef_Skin,15591.294,8281.905,4,3897.8235,2070.47625
2020,4,3,4/17/20,12,Beef,111286.176,25401.988,5,22257.2352,5080.3976
2020,4,3,4/17/20,12,Poultry,103133.968,67156.702,5,20626.7936,13431.3404
2020,4,3,4/17/20,12,Pork,36260.768,14902.841,5,7252.1536,2980.5682
2020,4,3,4/17/20,12,Soybeans,942100.039,2750134.446,5,188420.0078,550026.8892
2020,4,3,4/17/20,12,Corn,661.403,1947.76,5,132.2806,389.552
2020,4,3,4/17/20,12,Cotton,25210.685,16066.873,5,5042.137,3213.3746
2020,4,3,4/17/20,12,Sugar,102507.877,324232.802,5,20501.5754,64846.5604
2020,4,3,4/17/20,12,Beef_Skin,18698.918,5866.536,5,3739.7836,1173.3072
2020,4,4,4/24/20,16,Beef,125199.158,29172.874,4,31299.7895,7293.2185
2020,4,4,4/24/20,16,Poultry,83649.047,58849.463,4,20912.26175,14712.36575
2020,4,4,4/24/20,16,Pork,21864.543,9409.215,4,5466.13575,2352.30375
2020,4,4,4/24/20,16,Soybeans,1436942.556,4349359.75,4,359235.639,1087339.938
2020,4,4,4/24/20,16,Corn,1490.28,1316.689,4,372.57,329.17225
2020,4,4,4/24/20,16,Cotton,37705.946,24127.082,4,9426.4865,6031.7705
2020,4,4,4/24/20,16,Sugar,101929.523,318910.201,4,25482.38075,79727.55025
2020,4,4,4/24/20,16,Beef_Skin,17894.361,7705.047,4,4473.59025,1926.26175
2020,4,5,4/30/20,20,Beef,87376.336,19799.065,4,21844.084,4949.76625
2020,4,5,4/30/20,20,Poultry,109053.003,72816.341,4,27263.25075,18204.08525
2020,4,5,4/30/20,20,Pork,41319.537,16233.676,4,10329.88425,4058.419
2020,4,5,4/30/20,20,Soybeans,1028505.45,3082469.594,4,257126.3625,770617.3985
2020,4,5,4/30/20,20,Corn,963.54,966.164,4,240.885,241.541
2020,4,5,4/30/20,20,Cotton,28835.855,18265.452,4,7208.96375,4566.363
2020,4,5,4/30/20,20,Sugar,74443.33,214999.514,4,18610.8325,53749.8785
2020,4,5,4/30/20,20,Beef_Skin,8914.08,3883.565,4,2228.52,970.89125
2020,5,1,5/8/20,5,Beef,235208.673,53502.371,5,47041.7346,10700.4742
