Year,Month,Week_Number_In_Month,Date,Running_Work_Days,Product,ValueFOB,Volume,WorkingDaysDelta,ValueFOB_Daily,Volume_Daily
2020,4,1,4/3/20,3,Wheat,21304.675,105212.68,3,7101.558333,35070.89333
2020,4,1,4/3/20,3,Fertilizers,68791.561,306349.881,3,22930.52033,102116.627
2020,4,1,4/3/20,3,Crop_Chemicals,18015.155,1420.186,3,6005.051667,473.3953333
2020,4,2,4/10/20,7,Wheat,29868.356,146952.093,4,7467.089,36738.02325
2020,4,2,4/10/20,7,Fertilizers,82028.389,327137.144,4,20507.09725,81784.286
2020,4,2,4/10/20,7,Crop_Chemicals,38117.92,2887.39,4,9529.48,721.8475
2020,4,3,4/17/20,12,Wheat,45719.462,209121.951,5,9143.8924,41824.3902
2020,4,3,4/17/20,12,Fertilizers,132946.106,591425.525,5,26589.2212,118285.105
2020,4,3,4/17/20,12,Crop_Chemicals,53953.498,5506.15,5,10790.6996,1101.23
2020,4,4,4/24/20,16,Wheat,19739.262,85361.96,4,4934.8155,21340.49
2020,4,4,4/24/20,16,Fertilizers,120612.182,493938.282,4,30153.0455,123484.5705
2020,4,4,4/24/20,16,Crop_Chemicals,27162.564,3105.995,4,6790.641,776.49875
2020,4,5,4/30/20,20,Wheat,43897.355,201578.209,4,10974.33875,50394.55225
2020,4,5,4/30/20,20,Fertilizers,172692.769,725766.878,4,43173.19225,181441.7195
2020,4,5,4/30/20,20,Crop_Chemicals,33231.594,2904.119,4,8307.8985,726.02975
2020,5,1,5/8/20,5,Wheat,21584.328,96810.295,5,4316.8656,19362.059
2020,5,1,5/8/20,5,Fertilizers,179397.915,743081.242,5,35879.583,148616.2484
2020,5,1,5/8/20,5,Crop_Chemicals,49114.119,5140.877,5,9822.8238,1028.1754
2020,5,2,5/15/20,10,Wheat,24110.855,108199.82,5,4822.171,21639.964
2020,5,2,5/15/20,10,Fertilizers,231101.923,977240.753,5,46220.3846,195448.1506
2020,5,2,5/15/20,10,Crop_Chemicals,64469.826,6001.326,5,12893.9652,1200.2652
2020,5,3,5/22/20,15,Wheat,21167.187,96470.423,5,4233.4374,19294.0846
2020,5,3,5/22/20,15,Fertilizers,174883.036,743211.503,5,34976.6072,148642.3006
2020,5,3,5/22/20,15,Crop_Chemicals,51340.968,6368.918,5,10268.1936,1273.7836
2020,5,4,5/29/20,20,Wheat,37335.399,165366.151,5,7467.0798,33073.2302
2020,5,4,5/29/20,20,Fertilizers,103873.591,423491.959,5,20774.7182,84698.3918
2020,5,4,5/29/20,20,Crop_Chemicals,88170.182,7054.632,5,17634.0364,1410.9264
2020,6,1,6/5/20,5,Wheat,15900.75,69249.803,5,3180.15,13849.9606
